user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,1,2015-02-13,20,20,5000,-,n/a,n/a,-,32.6,50,1.8,west,sunny,-,-,-
1,1,2015-05-27,20,20,5000,-,10,10,-,30.9,59,0.7,west,sunny,-,-,-
1,1,2015-08-24,20,20,5000,-,10,10,-,32.4,58,2.1,south,sunny,-,-,-
1,1,2015-11-18,20,20,5000,-,10,10,-,31,65,1.9,east,sunny,-,-,-
1,1,2016-03-10,20,20,5000,-,10,10,-,28.1,66,1.3,North,Cloudy,760,-,-
1,1,2016-05-18,20,20,5000,-,10,10,-,29.9,63,1.3,South,Sunny,640,-,-
1,1,2016-08-23,20,20,5000,-,10,10,-,30.1,67,1.3,East,Sunny,760,-,-
1,1,2016-12-07,20,20,5000,-,10,10,-,30.3,64,0.6,East,Sunny,760,-,-
1,1,2017-03-20,20,20,5000,-,10,10,-,28.7,62,1.3,East,Cloudy,760,-,-
1,1,2017-05-16,20,20,5000,-,10,10,-,30.6,63,1.7,North,Sunny,760,-,-
1,1,2017-08-08,20,20,5000,-,13,10,-,30.6,61,1.8,North,Sunny,760,-,-
1,1,2017-10-19,20,20,5000,10,24,10,10,32.6,61,3.1,North,Sunny,760,-,-
1,1,2018-03-07,20,20,5000,10,10,10,10,32.8,52,1.6,North,Cloudy,755,-,-
1,1,2018-06-01,20,20,5000,10,11,10,10,28.4,65.2,1.6,North,Cloudy,744,-,-
1,1,2018-08-25,20,20,5000,10,12,10,10,33.1,62,2.1,East,Sunny,744.32,-,-
1,1,2018-11-08,20,20,5000,10,63,10,10,26.8,69,0.9,North,Rainy,744,-,-
1,1,2019-03-02,20,20,5000,10,17,10,10,33.5,62,2.7,West,Sunny,744,-,-
1,1,2019-05-24,20,20,5000,10,10,10,10,33.7,60,1.4,South,Sunny,751,-,-
1,1,2019-08-18,20,5,100,20,25.7,7.8,6.7,20.9 - 38.2,48.7 - 92.8,1.3 - 7.7,East,Cloudy - Clear,740.8 - 743.6,-,-
1,1,2019-11-25,20,5,100,20,30.2,9.6,4.7,23.5 - 35.8,53.5 - 91.4,1.2 - 3.1,South,Clear - Cloudy - Rainy,738.5 - 743.6,-,-
1,1,2020-02-24,20,5,100,-,25.4,8.3,4.5,22.0 - 38.6,61.5 - 93.7,1.6,West,Rainy - Cloudy Clear,741.2 - 743.9,-,-
1,1,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,2020-08-20,20,20,5000,-,18,10,10,33.3,60,1.9,East,Sunny,749,-,-
1,1,2020-11-17,20,20,5000,10,48,14,10,33.1,58,1.6,North,Sunny,756,-,-
1,1,2021-02-19,20,20,5000,10,10,10,10,26.3,78,1.6,North,Cloudy,753,-,-
1,1,2021-05-30,20,20,5000,10,23,13,10,31.2,70,0.9,South,Sunny,741,0.05,10
1,1,2021-08-17,20,20,5000,10,20,10,10,32.6,58,1.7,South,Sunny,750,0.05,10
1,1,2021-11-04,20,20,5000,10,19,10,10,30.5,56,1.8,North,Cloudy,757,0.05,10
1,1,2022-01-15,20,20,5000,10,28,10,10,28,70,1.5,North,Cloudy,757,0.05,10
1,1,2022-04-27,20,20,5000,10,10,10,10,28.5,69,1.2,North,Cloudy,757,0.05,10
1,1,2022-07-28,20,20,5000,10,10,10,10,32.2,68,1.9,West,Sunny,757,0.05,10
