user_id,point_id,date,time_observation,day_rainfall,initial_water_elevation,final_water_elevation
1,1,2022-12-01,9:00 AM,0,25,21.20
1,1,2022-12-02,9:00 AM,0,25,20.20
1,1,2022-12-03,9:00 AM,0,25,23.40
1,1,2022-12-04,9:00 AM,12.5,25,34.50
1,1,2022-12-05,9:00 AM,0,25,21.30
1,1,2022-12-06,9:00 AM,0,25,22.30
1,1,2022-12-07,9:00 AM,2,25,23.40
1,1,2022-12-08,9:00 AM,7.5,25,29.00
1,1,2022-12-09,9:00 AM,0,25,22.30
1,1,2022-12-10,9:00 AM,21.5,25,43.40
1,1,2022-12-11,9:00 AM,13.5,25,36.00
1,1,2022-12-12,9:00 AM,0,25,20.20
1,1,2022-12-13,9:00 AM,1,25,22.20
1,1,2022-12-14,9:00 AM,3,25,27.20
1,1,2022-12-15,9:00 AM,5,25,28.10
1,1,2022-12-16,9:00 AM,0,25,20.70
1,1,2022-12-17,9:00 AM,17,25,38.00
1,1,2022-12-18,9:00 AM,0,25,20.60
1,1,2022-12-19,9:00 AM,2,25,25.70
1,1,2022-12-20,9:00 AM,4.5,25,28.30
1,1,2022-12-21,9:00 AM,2,25,22.00
1,1,2022-12-22,9:00 AM,1,25,22.30
1,1,2022-12-23,9:00 AM,0,25,20.40
1,1,2022-12-24,9:00 AM,18,25,43.20
1,1,2022-12-25,9:00 AM,1,25,21.40
1,1,2022-12-26,9:00 AM,14.5,25,37.80
1,1,2022-12-27,9:00 AM,3,25,25.80
1,1,2022-12-28,9:00 AM,0,25,21.40
1,1,2022-12-29,9:00 AM,1,25,22.40
1,1,2022-12-30,9:00 AM,1,25,21.70
1,1,2022-12-31,9:00 AM,0,25,20.50
1,1,2022-11-01,9:00 AM,8.0,25.00,28.80
1,1,2022-11-02,9:00 AM,1.0,25.00,23.20
1,1,2022-11-03,9:00 AM,0.0,25.00,20.80
1,1,2022-11-04,9:00 AM,2.0,25.00,24.70
1,1,2022-11-05,9:00 AM,15.0,25.00,38.10
1,1,2022-11-06,9:00 AM,9.0,25.00,30.90
1,1,2022-11-07,9:00 AM,33.0,25.00,55.10
1,1,2022-11-08,9:00 AM,0.5,25.00,23.40
1,1,2022-11-09,9:00 AM,7.0,25.00,28.00
1,1,2022-11-10,9:00 AM,0.0,25.00,22.40
1,1,2022-11-11,9:00 AM,15.0,25.00,38.60
1,1,2022-11-12,9:00 AM,9.0,25.00,31.20
1,1,2022-11-13,9:00 AM,0.0,25.00,22.00
1,1,2022-11-14,9:00 AM,0.0,25.00,21.00
1,1,2022-11-15,9:00 AM,45.0,25.00,68.20
1,1,2022-11-16,9:00 AM,0.5,25.00,22.30
1,1,2022-11-17,9:00 AM,6.0,25.00,29.50
1,1,2022-11-18,9:00 AM,11.0,25.00,32.00
1,1,2022-11-19,9:00 AM,14.5,25.00,38.30
1,1,2022-11-20,9:00 AM,18.5,25.00,42.60
1,1,2022-11-21,9:00 AM,30.5,25.00,53.40
1,1,2022-11-22,9:00 AM,2.0,25.00,24.30
1,1,2022-11-23,9:00 AM,3.5,25.00,26.70
1,1,2022-11-24,9:00 AM,15.0,25.00,37.40
1,1,2022-11-25,9:00 AM,19.0,25.00,42.10
1,1,2022-11-26,9:00 AM,0.0,25.00,21.10
1,1,2022-11-27,9:00 AM,2.0,25.00,23.30
1,1,2022-11-28,9:00 AM,0.0,25.00,20.80
1,1,2022-11-29,9:00 AM,54.0,25.00,65.50
1,1,2022-11-30,9:00 AM,0.5,25.00,22.10
