user_id,point_id,date,ph,ph_h2o,total_organic_carbon,total_nitrogen,cn,calsium,magnesium,pottasium,sodium,jumlah,p2o5_hcl_25,k2o_hcl_25,p2o5_olsen,kapasitas_tukar_kation,kb_kejenuhan_basa,al__tukar,_h__tukar,pasir,debu,lempung,bulk_density,moisture_content,ruang_pori_total,pd,sangat_cepat,cepat,lambat,air_tersedia,permeabilitas,pf_1,pf_2,pf_2_54,pf_4_2,laboratorium
1,10,2013-11-22,6,6.2,4.2,0.5,-,7090,4840,756,860,-,87,62,52,8.9,-,0,0,74,7,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,2014-03-23,6.2,6,0.1,0.5,-,6660,5240,534,1470,-,44,27,9,15.8,-,0,0.04,67,14,19,1.17,-,50.6,-,-,28.7,7.6,5,7.83,-,-,-,-,-
1,10,2014-09-09,5.8,5.9,1,0.5,-,10.03,2.96,0.41,0.37,13.77,46,13,11.7,11.89,-,0,0,76,19,5,1.09,14.1,54.2,-,-,16.2,6.1,15.9,8.54,-,-,-,-,-
1,10,2015-04-01,5.03,6.27,2.15,0.26,-,5470,339,5050,1040,-,10,14,29.33,15.25,-,0.09,0.16,20,56,24,1.08,-,56,-,-,17.7,6.5,9.1,4.04,-,-,-,-,-
1,10,2015-09-29,5.19,5.44,1.12,0.15,-,5910,393,3980,923,-,28,23,28.16,17.2,-,0.04,0.12,20,50,30,1.18,-,52.4,-,-,12.8,4.5,13.9,2.88,-,-,-,-,-
1,10,2016-04-26,5.85,6.38,1.16,0.1,-,6190,5690,448,635,-,32,27,52.15,18,-,0,0,48,38,14,1.2,31.8,50.8,2.44,-,15.5,5,11.3,5.27,48.3,35.3,30.3,19,-
1,10,2016-10-13,6.17,6.45,2.27,0.13,-,6830,5790,379,1050,-,6,8,11.38,19.55,-,0,0,25,59,16,1.26,-,47.9,2.42,-,16.7,5.6,10.4,6.49,-,-,-,-,-
1,10,2017-01-16,5.81,6.95,1.12,0.09,-,6640,4040,214,1250,-,2,4,8.77,25.58,-,0,0,21,61,18,1.18,-,50.6,2.39,-,14.5,6.3,13.98,3.17,-,-,-,-,-
1,10,2017-07-17,5.84,7.05,0.97,0.09,11,7130,4560,428,1050,-,5,7,11.27,13.01,-,0,0.14,31,56,13,1.2,-,50.6,2.43,-,11.5,6.1,12.5,0.85,-,-,-,-,-
1,10,2018-01-24,5.87,6.7,3.72,0.38,10,6260,5530,406,621,-,25,28,41.27,29.72,-,1.12,0.08,16,58,26,1.09,-,53.6,2.35,-,16,5.9,15.5,2.32,-,-,-,-,-
1,10,2018-07-14,6.01,6.73,0.79,0.13,-,7440,4920,495,1810,-,7,10,20.38,12,-,0,0,18,62,20,1.09,-,54.2,2.38,-,14.9,6.5,13.6,1.18,-,-,-,-,-
1,10,2019-02-21,6.19,6.74,1.45,0.16,-,5290,5120,272,361,-,8,-,20.62,28.41,-,2.66,1.29,17,63,20,1.08,-,54.6,-,-,16.5,5.6,13.1,2.47,-,-,-,-,WLN
1,10,2019-07-31,5.75,6.68,3.04,0.12,-,9,4,1,0.1,-,4.7,3.7,425,14.1,-,0.02,1,62.5,21.3,16.2,1.08,-,46.1,-,-,8.6,14.9,9.2,5.49,-,-,-,-,IT
1,10,2020-03-26,5.92,6.53,2.6,0.08,-,3.1,0.7,0.1,0.1,-,45.5,0.182,0.21,3.7,-,0.04,1,64.4,20.1,15.6,1.23,-,41.4,-,-,8.3,11.7,7.3,0.81,-,-,-,-,IT
1,10,2020-10-12,5.85,6.58,1.72,0.14,-,13.77,1.82,1,0.81,-,311.96,305.91,87.15,21.15,82.26,tr,0.12,69.22,20.36,10.43,1.16,-,56.3,-,10.92,9.03,10.94,9.89,3.71,-,-,-,-,WLN
1,10,2021-04-21,5.87,6.53,0.82,0.15,-,7.1,3.31,0.43,0.47,-,499.4,342,93.4,11.75,96.3,tr,0.11,74.63,14.01,11.36,-,-,-,-,-,-,-,-,-,-,-,-,-,WLN
1,10,2021-09-21,4.61,5.54,1.15,0.13,-,9.65,2.42,0.56,0.63,-,719,370.6,8.2,16.92,78.34,tr,0.44,60.13,24.69,15.18,1.31,-,50.62,-,7.43,10.43,4.11,9.46,41.79,-,-,-,-,WLN
1,10,2022-03-23,5.75,6.47,2.18,0.23,-,7.45,3.04,1.27,0,-,56.3,765.7,9.5,17.37,67.7,tr,0.08,65.6,9.11,25.29,1.1,-,58.5,-,16.86,10.16,6.41,8.41,33.01,-,-,-,-,WLN
