user_id,nama
1,MSM-A1 Koba Creek Up stream
1,MSM-A2 Koba creak downstream
1,MSM-A3 Maen river upstream
1,MSM-A4 Maen River at Winuri Village 
1,MSM-A5 Downstream of Maen River (before estuary)
1,MSM-A6 Maen oki creek (Maen’s tributary)
1,MSM-A7 Pangisan river
1,MSM-A8 Maen river between Maen and Winuri village
1,MSM-A9 Pangisan river downstrem
1,MSM-A10 Marawuwung upstream
1,MSM-A11 Marawuwung downstream
1,WQ-RS Resetlemen river
1,MSM-A15 Araren River under Pinenek bridge
1,MSM-A16 Downstream of Araren (before Estuary)
1,TTN-A5 Upstream of Araren River - Kayuwale kecil
1,TTN-A6 Araren river
1,TTN-A7 Batupangah River
1,TTN-A9 Araren Estuary
