user_id,locationresume,date ,l1,l2,l3,l4,l5,l6,l7,ls,lm,lsm
1,7,2020-01-01,44.6,46.6,42.37,44.96,45.86,45.13,43.84,43.83,44.9,44
1,7,2020-02-01,53.9,48.5,48.4,63.6,42.7,46.2,46.6,58.94,45.73,57
1,7,2020-03-01,55.2,54.7,52.2,51.2,48.8,48.8,49.7,52.34,49.16,52
1,7,2020-07-01,65.97,61.44,58.21,77.82,51.24,50.27,48.21,73,49.91,71
1,7,2020-08-01,56.5,44.35,44.9,47.83,47.08,45.79,46.45,50.49,46.39,50
1,7,2020-09-01,63.2,58.8,53.2,60.8,52.1,51.5,45.8,59.55,50.33,58
1,7,2020-10-01,44.62,46.07,47.44,48.66,48.84,47.98,48.43,46.42,48.38,47
1,7,2020-11-01,48.86,49.35,48.79,46.51,48.5,42.89,44.34,47.28,45.46,47
1,7,2020-12-01,48.77,47.65,47.99,60.69,47.39,45.92,44.56,56.01,45.92,54
1,7,2021-01-01,53.17,54.9,50.29,49.06,47.85,47,49.93,50.89,48.51,50
1,7,2021-02-01,48,49,46,47,48,46,46,48,47,50
1,7,2021-03-01,48.32,48.36,47.29,48,42.11,40.7,43.93,47.08,42.49,46
1,7,2021-04-01,44.27,49.67,45.64,42.35,42.5,42.25,41.85,44.6,42.17,44
1,7,2021-05-01,49,46,47,47,46,45,46,47,46,49
1,7,2021-06-01,60.03,49,49.34,49.13,49.86,41.6,47.8,53.81,47.18,52
1,7,2021-07-01,50.44,55.91,59.09,50.44,48.9,49.9,48.71,54.08,49.24,53
1,7,2021-08-01,43.21,52.79,52.87,45.37,45.13,41.92,41.66,48.74,42.9,48
1,7,2021-09-01,57,61.3,59,54.9,46,41.2,53.1,57.05,49.61,56
1,7,2021-10-01,51.08,50.77,49.93,51.98,51.15,51.07,52.19,50.28,51.55,51
1,7,2021-11-01,48.71,52.11,54.38,49.93,48.07,46.27,48.14,50.66,47.51,50
1,7,2021-12-01,60.2,48.84,53.76,59.63,49.2,47.13,48.79,57.3,48.36,56
1,7,2022-01-01,56,54,53,50,49,46,46,53,47,53
1,7,2022-02-01,58,57,58,51,51,50,52,55,51,54
1,7,2022-03-01,64,53,49,44,47,40,46,57,45,55
1,7,2022-04-01,45,45,46,51,39,39,39,48,39,47
1,7,2022-05-01,50,50,51,53,45,44,47,51,46,50
1,7,2022-06-01,45,43,46,46,45,45,45,45,45,45
